River Name,Monitoring Station / Location,State,,pH,Temperature (°C),Turbidity (NTU),DO (mg/L),BOD (mg/L),COD (mg/L),Total Coliform (MPN/100ml),EC (µS/cm),Data Source / Year,Completeness_Flag,synthetic_flag
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.5,23.4,2.1,8.6,3.2,15,250,310,seed_example_2015,1,0
Ganga,Kanpur (Ranighat),Uttar Pradesh,,7.2,22,5,7.1,4.5,22,4500,380,seed_example_2018,1,0
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.6,25.5,3.8,6.9,3.7,18,3800,400,seed_example_2019,1,0
Ganga,Patna (Patratu Ghat),Bihar,,7.8,27,4.2,7.5,3,16,2200,360,seed_example_2020,1,0
Ganga,Kolkata (Hooghly),West Bengal,,7.8,28.5,7.5,6.8,4.2,17,3300,370,seed_example_2022,1,0
Ganga,Haridwar (Shivaji Park),Uttarakhand,,,17.45,2.65,9.41,2.27,14.1,615,296,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.14,15.75,0.99,,1.59,9.4,,236.5,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.31,16.83,1.4,9.61,2.49,10.8,464,176.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.51,18.69,1.88,8.32,,12.1,207,313.4,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.55,21.73,1.16,8.31,2.83,18.9,204,238.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.45,24.15,1.96,9.44,0.12,18.3,317,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.28,15.99,2.92,8.7,1.97,17.1,319,308.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.4,17.06,0.58,8.25,2.16,11.8,267,274.2,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.41,27.85,1.81,8.68,2.47,10.3,528,295.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.25,15.73,2.1,8.2,0.95,15.3,87,278.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.52,13.08,2.23,9.28,0.89,15.7,351,296.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.44,15.14,3.87,8.78,1.31,17.6,105,297.2,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.27,14.74,1.92,8.7,2.78,,302,337.2,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.37,20.86,2.47,8.46,1.65,8.9,210,301.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.41,13.43,2.36,8.84,3.58,19.2,24,193.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.54,20.61,1.68,8.96,,,202,254.9,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.41,13.69,1.28,8.91,1.77,15.9,309,210.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.28,17.54,2.5,9.02,1.3,13.7,205,210.8,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.17,16.06,3.27,8.08,2.94,18.1,114,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,,12.26,3.16,8.51,1.52,16.8,339,214,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.38,20.35,2.28,8.13,2.29,13,182,301,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.51,20.44,1.98,8.57,3.78,12.6,409,237.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.5,16.76,2.32,8.42,2.6,17.4,136,375.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.41,15.29,2.98,8.41,,13.7,382,216.2,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.18,12.37,,8.37,,20.9,471,240.4,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,,24.13,1.89,8.74,3.19,13.4,344,250.8,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.53,,4.19,8.02,1.66,12.6,124,218.5,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.27,19.97,0.68,9.6,3.68,13.1,,331.2,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.4,18.19,1.55,8.87,1.43,14.4,324,280.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.58,18.27,4.06,,2.25,18.9,429,332.1,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.36,20.87,3.5,8.54,4.13,9.5,,246.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.45,,1.49,7.86,2.44,18.8,102,280.2,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.32,13.21,3.96,8.52,1.8,15.9,277,236.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.65,17,2.58,8.69,,19.5,274,192.7,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.65,21.53,1.99,9.39,2.58,11.6,604,282.3,synthetic_generated_2025,1,1
